,fruit_name,cate3,width,height,weight
12044,mandarine_hallabong,보통,8.8,8.5,265
10636,mandarine_hallabong,보통,8.2,8.2,275
30310,persimmon_daebong,특,8.9,9.0,365
35208,pear_chuhwang,특,9.8,8.7,485
29950,persimmon_daebong,특,9.5,9.2,412
48921,pear_singo,특,11.7,9.7,705
14516,mandarine_onjumilgam,보통,5.5,4.2,65
24502,pear_singo,보통,10.1,8.9,505
10596,mandarine_hallabong,보통,8.8,8.8,310
4068,apple_yanggwang,보통,8.9,8.1,305
21962,mandarine_onjumilgam,특,6.7,4.9,115
5628,apple_yanggwang,상,8.7,7.8,310
14556,mandarine_onjumilgam,보통,5.6,4.6,75
43729,persimmon_bansi,보통,6.4,5.3,170
6516,apple_fuji,보통,7.4,6.4,200
34779,pear_chuhwang,특,10.7,9.3,535
15940,mandarine_hallabong,상,9.0,9.6,355
31238,persimmon_booyu,보통,8.0,6.1,240
22082,mandarine_onjumilgam,특,6.7,4.8,115
49401,pear_singo,특,12.0,10.3,745
36758,persimmon_bansi,특,7.5,5.4,180
26310,persimmon_daebong,보통,7.0,7.5,200
46041,persimmon_booyu,특,8.8,6.5,275
28278,persimmon_bansi,상,7.1,5.1,165
42009,persimmon_bansi,보통,6.4,5.2,140
46873,pear_singo,상,11.8,9.8,735
30950,persimmon_daebong,특,8.3,8.2,315
30958,persimmon_daebong,특,8.9,8.9,350
37649,persimmon_bansi,특,7.3,5.1,160
7076,apple_fuji,보통,7.5,6.3,190
39769,persimmon_booyu,상,7.9,6.1,245
28638,persimmon_bansi,상,7.1,5.4,165
25550,persimmon_daebong,보통,6.8,7.7,195
1400,apple_fuji,상,8.7,7.2,260
49281,pear_singo,특,11.2,10.3,695
10516,mandarine_hallabong,보통,8.1,9.2,325
48233,pear_singo,상,10.8,9.6,630
37969,persimmon_booyu,상,8.4,6.2,250
35248,pear_chuhwang,특,9.9,8.4,455
2240,apple_fuji,상,8.4,7.5,270
40081,persimmon_daebong,상,9.6,9.4,405
10796,mandarine_hallabong,보통,8.8,8.3,300
30470,persimmon_daebong,특,8.5,8.2,305
13722,pear_chuhwang,보통,8.4,8.3,345
14316,mandarine_onjumilgam,보통,5.4,4.1,65
34423,pear_chuhwang,특,10.1,9.2,515
51637,pear_chuhwang,상,9.9,8.9,470
36358,persimmon_bansi,특,7.2,5.2,170
24622,pear_singo,보통,9.6,9.2,465
16282,mandarine_hallabong,상,8.7,8.9,345
11076,mandarine_hallabong,보통,9.0,8.8,320
7236,apple_fuji,보통,7.5,6.9,215
18010,mandarine_hallabong,특,9.5,9.6,415
31518,persimmon_booyu,보통,7.7,5.8,210
4588,apple_yanggwang,상,8.5,7.5,255
49601,pear_singo,특,11.7,10.6,750
17042,mandarine_hallabong,상,9.0,10.3,350
36678,persimmon_bansi,특,7.1,5.1,160
13772,pear_chuhwang,보통,9.0,8.3,365
50533,pear_chuhwang,상,9.7,9.0,510
17202,mandarine_hallabong,상,9.2,10.9,400
2040,apple_fuji,상,8.2,7.4,250
41441,persimmon_daebong,상,9.1,9.1,375
39921,persimmon_booyu,상,8.3,6.3,260
21322,apple_yanggwang,특,8.1,7.6,230
39209,persimmon_booyu,상,8.2,6.3,270
44241,persimmon_booyu,특,8.7,6.3,275
31318,persimmon_booyu,보통,8.0,6.0,230
39409,persimmon_booyu,상,8.2,6.2,260
25590,persimmon_daebong,보통,6.7,7.5,180
6556,apple_fuji,보통,7.7,7.2,210
17242,mandarine_hallabong,상,9.1,9.2,340
23822,pear_singo,보통,10.1,8.4,485
12322,pear_chuhwang,보통,8.7,8.3,335
26230,persimmon_daebong,보통,7.2,7.6,170
14076,mandarine_onjumilgam,보통,5.6,4.8,70
29630,persimmon_daebong,특,8.5,8.5,315
21482,mandarine_onjumilgam,특,6.7,4.9,120
11316,mandarine_hallabong,보통,9.0,9.0,325
39289,persimmon_booyu,상,8.2,6.2,255
34819,pear_chuhwang,특,10.3,8.3,500
19794,apple_yanggwang,특,8.2,7.8,245
7196,apple_fuji,보통,7.4,6.1,185
44049,persimmon_bansi,보통,6.5,5.0,140
33831,pear_chuhwang,특,10.0,8.3,445
49201,pear_singo,특,11.5,9.8,755
24462,pear_singo,보통,10.2,8.3,475
27478,persimmon_bansi,상,7.2,4.9,165
3300,apple_yanggwang,보통,9.5,7.9,330
19914,apple_yanggwang,특,8.9,8.1,325
25230,persimmon_daebong,보통,6.8,7.2,170
28758,persimmon_bansi,상,6.8,5.0,150
38209,persimmon_booyu,상,8.0,6.3,265
11196,mandarine_hallabong,보통,8.7,8.9,285
32798,persimmon_booyu,보통,7.9,6.5,245
36158,persimmon_bansi,특,6.7,4.8,135
30430,persimmon_daebong,특,8.9,8.6,325
13082,pear_chuhwang,보통,8.8,8.6,365
46713,pear_singo,상,11.7,9.7,720
7876,apple_fuji,보통,7.6,6.4,200
40,apple_fuji,상,9.5,7.5,295
14276,mandarine_onjumilgam,보통,5.9,4.5,80
23542,pear_singo,보통,9.4,8.7,465
20434,apple_yanggwang,특,8.2,7.3,235
15980,mandarine_hallabong,상,9.6,9.0,385
23302,pear_singo,보통,10.0,8.5,490
20714,apple_yanggwang,특,8.7,8.5,320
26110,persimmon_daebong,보통,6.5,7.8,170
44561,persimmon_booyu,특,8.8,6.6,290
26998,persimmon_bansi,상,7.5,4.3,180
20234,apple_yanggwang,특,8.2,7.3,220
16482,mandarine_hallabong,상,9.8,9.7,420
12362,pear_chuhwang,보통,8.7,8.2,355
40881,persimmon_daebong,상,9.5,9.0,395
10756,mandarine_hallabong,보통,8.5,9.2,295
10356,mandarine_hallabong,보통,8.2,9.0,275
33792,pear_chuhwang,특,10.8,8.9,480
9016,mandarine_onjumilgam,상,6.0,5.1,100
35319,pear_chuhwang,특,10.0,8.6,445
14156,mandarine_onjumilgam,보통,5.4,4.1,60
18586,mandarine_hallabong,특,9.2,8.7,384
40961,persimmon_daebong,상,9.4,9.6,420
23182,mandarine_onjumilgam,특,6.5,4.7,100
17082,mandarine_hallabong,상,9.2,9.0,365
44601,persimmon_booyu,특,8.8,6.4,275
30710,persimmon_daebong,특,8.2,8.1,290
12242,pear_chuhwang,보통,9.2,8.6,345
7956,apple_fuji,보통,7.8,6.3,190
31158,persimmon_booyu,보통,8.5,6.7,285
45681,persimmon_booyu,특,8.9,6.4,255
12522,pear_chuhwang,보통,8.7,8.4,345
5996,apple_yanggwang,상,7.5,7.2,215
9856,mandarine_onjumilgam,상,6.4,4.4,95
38369,persimmon_booyu,상,8.0,6.2,260
12482,pear_chuhwang,보통,9.1,8.8,385
36918,persimmon_bansi,특,7.0,5.2,165
2500,apple_yanggwang,보통,9.4,8.4,325
41121,persimmon_daebong,상,9.3,9.2,375
1040,apple_fuji,상,8.8,7.3,280
16402,mandarine_hallabong,상,9.2,9.3,355
36278,persimmon_bansi,특,6.9,5.4,165
1480,apple_fuji,상,8.5,7.5,270
51025,pear_chuhwang,상,9.7,8.9,455
24782,pear_singo,보통,10.2,8.5,475
38569,persimmon_booyu,상,8.8,6.2,265
32038,persimmon_booyu,보통,8.0,6.3,250
28158,persimmon_bansi,상,6.5,5.1,140
49041,pear_singo,특,11.4,10.0,720
1200,apple_fuji,상,8.2,8.0,275
50716,pear_chuhwang,상,9.3,8.3,425
4148,apple_yanggwang,보통,8.3,7.9,290
37118,persimmon_bansi,특,7.1,5.5,160
2740,apple_yanggwang,보통,9.7,8.0,340
19674,apple_yanggwang,특,7.8,7.7,215
38329,persimmon_booyu,상,8.0,6.2,250
35087,pear_chuhwang,특,10.3,8.8,485
14036,mandarine_onjumilgam,보통,5.4,4.2,65
38689,persimmon_booyu,상,8.4,6.4,265
48073,pear_singo,상,10.9,9.9,620
17362,mandarine_hallabong,상,9.3,9.1,360
23462,pear_singo,보통,9.8,8.5,475
37038,persimmon_bansi,특,7.0,4.9,155
24302,pear_singo,보통,10.2,8.2,490
11036,mandarine_hallabong,보통,8.8,8.0,295
24222,pear_singo,보통,9.9,8.7,465
28718,persimmon_bansi,상,7.3,5.2,200
24742,pear_singo,보통,9.9,8.4,480
9696,mandarine_onjumilgam,상,6.2,4.9,105
48441,pear_singo,특,11.9,10.1,705
42329,persimmon_bansi,보통,7.3,5.1,170
50089,pear_singo,특,11.5,9.6,755
24342,pear_singo,보통,10.4,8.9,480
40921,persimmon_daebong,상,9.0,9.4,365
26270,persimmon_daebong,보통,6.5,7.5,170
5828,apple_yanggwang,상,9.0,8.0,335
9576,mandarine_onjumilgam,상,6.3,5.1,115
33278,persimmon_booyu,보통,8.0,6.0,235
45161,persimmon_booyu,특,8.2,6.5,275
1960,apple_fuji,상,8.6,8.1,290
1160,apple_fuji,상,8.5,7.8,295
38049,persimmon_booyu,상,8.2,6.4,255
22962,mandarine_onjumilgam,특,7.0,5.5,130
45961,persimmon_booyu,특,8.7,6.1,265
29230,persimmon_bansi,상,7.3,5.4,190
2460,apple_yanggwang,보통,9.4,8.0,330
2300,apple_fuji,상,8.8,7.9,290
45601,persimmon_booyu,특,8.1,6.3,280
13122,pear_chuhwang,보통,8.9,7.7,350
48761,pear_singo,특,11.3,9.4,700
32758,persimmon_booyu,보통,7.6,6.0,220
31718,persimmon_booyu,보통,7.7,6.0,235
17442,mandarine_hallabong,상,9.3,9.5,345
10676,mandarine_hallabong,보통,8.3,8.2,280
31758,persimmon_booyu,보통,7.3,6.0,205
3020,apple_yanggwang,보통,9.2,8.0,320
720,apple_fuji,상,8.4,7.6,270
28798,persimmon_bansi,상,6.5,5.0,130
34970,pear_chuhwang,특,10.1,8.4,470
20874,apple_yanggwang,특,8.2,7.9,230
17482,mandarine_hallabong,상,8.7,8.9,330
27598,persimmon_bansi,상,7.0,5.1,165
49241,pear_singo,특,11.8,9.9,765
35718,persimmon_bansi,특,7.3,5.5,185
26958,persimmon_bansi,상,7.8,5.1,195
45281,persimmon_booyu,특,8.0,6.5,270
49801,pear_singo,특,11.7,10.6,710
47153,pear_singo,상,12.0,9.8,760
20794,apple_yanggwang,특,7.8,7.2,225
50869,pear_chuhwang,상,9.6,8.8,475
46513,persimmon_booyu,특,8.7,6.1,275
52043,pear_chuhwang,상,9.8,8.4,455
16802,mandarine_hallabong,상,8.8,8.7,350
50909,pear_chuhwang,상,9.5,8.6,460
23102,mandarine_onjumilgam,특,6.5,4.4,105
28078,persimmon_bansi,상,7.0,5.3,150
29150,persimmon_bansi,상,7.1,5.1,170
41689,persimmon_daebong,상,9.6,9.1,385
16100,mandarine_hallabong,상,9.3,9.3,365
47793,pear_singo,상,12.2,10.2,750
3140,apple_yanggwang,보통,9.0,8.3,320
13642,pear_chuhwang,보통,8.6,8.0,355
12802,pear_chuhwang,보통,8.8,7.9,345
1320,apple_fuji,상,8.9,8.2,300
13002,pear_chuhwang,보통,8.8,7.7,350
10436,mandarine_hallabong,보통,8.2,8.7,280
29990,persimmon_daebong,특,8.7,8.7,335
47593,pear_singo,상,11.4,9.8,705
31998,persimmon_booyu,보통,7.9,5.9,210
4548,apple_yanggwang,상,7.5,7.5,215
520,apple_fuji,상,8.8,7.2,260
7436,apple_fuji,보통,7.5,6.5,205
41081,persimmon_daebong,상,9.0,9.3,370
27958,persimmon_bansi,상,7.1,4.9,160
4748,apple_yanggwang,상,7.5,7.3,210
35438,persimmon_bansi,특,7.7,5.7,205
38769,persimmon_booyu,상,8.3,6.2,270
34071,pear_chuhwang,특,9.9,9.1,505
20594,apple_yanggwang,특,8.0,7.2,205
39049,persimmon_booyu,상,7.9,6.5,255
13402,pear_chuhwang,보통,8.8,8.2,350
7156,apple_fuji,보통,7.5,6.4,210
32998,persimmon_booyu,보통,7.6,6.2,235
4308,apple_yanggwang,상,7.4,7.4,215
2620,apple_yanggwang,보통,9.1,8.1,325
46833,pear_singo,상,11.2,9.4,700
33078,persimmon_booyu,보통,8.0,6.0,240
560,apple_fuji,상,8.4,8.0,290
280,apple_fuji,상,9.0,8.6,280
7756,apple_fuji,보통,7.4,7.1,210
51825,pear_chuhwang,상,10.5,9.2,485
2900,apple_yanggwang,보통,9.0,7.9,315
39809,persimmon_booyu,상,8.0,6.5,255
51104,pear_chuhwang,상,10.4,8.8,480
23582,pear_singo,보통,9.8,8.6,490
22762,mandarine_onjumilgam,특,6.7,4.6,115
19954,apple_yanggwang,특,9.1,8.1,310
41769,persimmon_daebong,상,9.1,9.6,385
14756,mandarine_onjumilgam,보통,5.7,4.8,85
26350,persimmon_daebong,보통,7.1,7.5,180
4508,apple_yanggwang,상,7.5,7.0,225
5668,apple_yanggwang,상,8.7,8.0,310
13442,pear_chuhwang,보통,8.8,8.2,355
32558,persimmon_booyu,보통,7.5,5.7,210
47353,pear_singo,상,11.6,9.8,755
8376,apple_fuji,보통,7.8,7.1,210
34459,pear_chuhwang,특,10.8,9.0,525
40121,persimmon_daebong,상,9.7,9.4,430
4868,apple_yanggwang,상,7.5,7.5,225
26470,persimmon_daebong,보통,7.1,7.3,180
120,apple_fuji,상,8.6,7.1,275
31358,persimmon_booyu,보통,7.8,6.2,230
37398,persimmon_bansi,특,7.1,5.0,155
43889,persimmon_bansi,보통,6.5,4.9,135
1640,apple_fuji,상,8.5,8.2,300
28238,persimmon_bansi,상,6.6,5.1,135
1440,apple_fuji,상,8.7,7.5,280
40761,persimmon_daebong,상,9.1,9.4,380
3380,apple_yanggwang,보통,9.3,8.2,325
16882,mandarine_hallabong,상,9.1,9.6,355
20034,apple_yanggwang,특,8.3,7.2,225
41601,persimmon_daebong,상,9.1,8.6,365
29190,persimmon_bansi,상,6.8,5.2,155
25310,persimmon_daebong,보통,6.4,7.6,180
17002,mandarine_hallabong,상,9.3,10.4,395
35358,persimmon_bansi,특,6.2,5.5,155
49761,pear_singo,특,11.9,9.5,725
47513,pear_singo,상,11.8,10.0,700
8856,mandarine_onjumilgam,상,6.2,4.4,90
6076,apple_fuji,보통,7.5,7.0,210
14676,mandarine_onjumilgam,보통,5.5,4.4,70
5308,apple_yanggwang,상,8.7,8.7,335
26878,persimmon_daebong,보통,7.0,8.0,185
45041,persimmon_booyu,특,8.5,6.6,290
17722,mandarine_hallabong,특,9.6,8.4,428
27238,persimmon_bansi,상,6.4,4.8,145
25710,persimmon_daebong,보통,7.0,7.5,175
40321,persimmon_daebong,상,9.3,9.0,370
44009,persimmon_bansi,보통,6.7,5.0,130
9656,mandarine_onjumilgam,상,6.3,4.5,105
43449,persimmon_bansi,보통,6.2,5.1,120
35958,persimmon_bansi,특,6.6,5.1,140
1120,apple_fuji,상,8.2,7.3,275
46121,persimmon_booyu,특,8.8,6.3,295
6356,apple_fuji,보통,7.8,6.4,215
20954,apple_yanggwang,특,7.9,7.5,220
9056,mandarine_onjumilgam,상,5.9,4.5,95
32278,persimmon_booyu,보통,7.5,5.5,205
20194,apple_yanggwang,특,9.2,8.5,325
23902,pear_singo,보통,9.8,8.8,470
36038,persimmon_bansi,특,6.5,5.2,130
25030,pear_singo,보통,10.1,8.2,475
4388,apple_yanggwang,상,7.3,7.3,210
19450,mandarine_hallabong,특,9.2,9.7,432
12402,pear_chuhwang,보통,9.1,7.8,380
40521,persimmon_daebong,상,9.3,9.4,390
35838,persimmon_bansi,특,7.5,5.2,190
15820,mandarine_hallabong,상,9.0,10.7,375
36238,persimmon_bansi,특,6.8,5.0,130
40241,persimmon_daebong,상,9.9,9.3,410
51372,pear_chuhwang,상,9.3,9.1,440
27918,persimmon_bansi,상,7.6,5.2,175
33350,persimmon_booyu,보통,8.5,6.3,270
38649,persimmon_booyu,상,7.8,6.0,235
16922,mandarine_hallabong,상,8.8,9.4,350
39169,persimmon_booyu,상,8.1,6.4,260
44481,persimmon_booyu,특,9.2,6.3,285
25390,persimmon_daebong,보통,6.6,7.8,190
25950,persimmon_daebong,보통,6.8,7.5,185
49921,pear_singo,특,11.1,9.6,700
15236,mandarine_onjumilgam,보통,5.4,4.2,70
31598,persimmon_booyu,보통,7.6,6.2,225
31638,persimmon_booyu,보통,7.7,5.9,215
48153,pear_singo,상,10.7,9.1,600
23742,pear_singo,보통,10.4,8.6,490
41641,persimmon_daebong,상,9.1,9.2,365
0,apple_fuji,상,8.6,7.5,290
51979,pear_chuhwang,상,10.0,9.2,485
11716,mandarine_hallabong,보통,8.5,8.0,275
27398,persimmon_bansi,상,7.6,5.0,185
23002,mandarine_onjumilgam,특,6.7,5.1,115
44401,persimmon_booyu,특,8.7,6.7,280
2200,apple_fuji,상,8.7,8.1,280
45481,persimmon_booyu,특,8.3,6.6,275
3660,apple_yanggwang,보통,8.9,7.2,285
11516,mandarine_hallabong,보통,8.1,8.4,275
24102,pear_singo,보통,9.8,8.5,485
13322,pear_chuhwang,보통,8.9,8.1,360
10056,mandarine_onjumilgam,상,6.3,5.2,105
37729,persimmon_booyu,상,8.0,6.3,250
36638,persimmon_bansi,특,6.9,5.3,145
29430,persimmon_daebong,특,8.4,9.0,340
4708,apple_yanggwang,상,7.5,7.5,220
25870,persimmon_daebong,보통,6.6,7.5,170
22522,mandarine_onjumilgam,특,6.5,5.2,110
3940,apple_yanggwang,보통,9.0,8.1,315
43409,persimmon_bansi,보통,6.6,5.1,140
49961,pear_singo,특,11.7,9.5,690
45201,persimmon_booyu,특,8.4,6.2,275
36438,persimmon_bansi,특,6.8,5.0,150
7836,apple_fuji,보통,7.1,6.9,190
28598,persimmon_bansi,상,6.5,5.0,135
15740,mandarine_onjumilgam,보통,5.3,4.4,65
45241,persimmon_booyu,특,8.2,6.2,280
20154,apple_yanggwang,특,8.2,8.1,290
14996,mandarine_onjumilgam,보통,5.5,4.3,75
40721,persimmon_daebong,상,9.5,9.1,385
35918,persimmon_bansi,특,6.3,5.0,135
19874,apple_yanggwang,특,8.3,8.0,285
35638,persimmon_bansi,특,7.2,5.3,180
2700,apple_yanggwang,보통,9.3,8.1,315
11916,mandarine_hallabong,보통,8.6,10.0,325
49441,pear_singo,특,11.7,10.0,720
29390,persimmon_daebong,특,8.5,8.4,315
5108,apple_yanggwang,상,8.1,7.4,230
46241,persimmon_booyu,특,8.9,6.3,290
30150,persimmon_daebong,특,8.8,8.6,355
5068,apple_yanggwang,상,8.5,8.0,310
6036,apple_yanggwang,상,8.5,8.2,320
47433,pear_singo,상,11.6,9.5,695
29550,persimmon_daebong,특,8.5,8.7,315
49641,pear_singo,특,11.9,10.2,765
49161,pear_singo,특,11.9,9.7,715
49881,pear_singo,특,11.4,10.2,705
37078,persimmon_bansi,특,7.0,4.8,160
37769,persimmon_booyu,상,8.2,6.3,245
440,apple_fuji,상,8.7,7.8,285
24702,pear_singo,보통,10.3,8.0,480
42929,persimmon_bansi,보통,6.2,4.9,120
31038,persimmon_daebong,특,8.3,8.7,310
44521,persimmon_booyu,특,8.8,6.3,275
34894,pear_chuhwang,특,10.3,8.7,460
26510,persimmon_daebong,보통,6.8,8.0,200
31878,persimmon_booyu,보통,7.9,6.2,220
9376,mandarine_onjumilgam,상,6.2,4.7,100
34739,pear_chuhwang,특,9.9,8.5,485
42889,persimmon_bansi,보통,6.7,5.2,145
40681,persimmon_daebong,상,9.1,9.4,385
3780,apple_yanggwang,보통,9.2,8.1,320
800,apple_fuji,상,9.0,8.0,295
21522,mandarine_onjumilgam,특,6.8,4.5,120
6796,apple_fuji,보통,7.5,6.3,200
680,apple_fuji,상,8.6,7.9,275
12642,pear_chuhwang,보통,9.3,8.2,365
21234,apple_yanggwang,특,8.4,7.4,235
34539,pear_chuhwang,특,10.2,8.7,520
9336,mandarine_onjumilgam,상,5.8,4.7,95
9456,mandarine_onjumilgam,상,6.2,5.2,105
47193,pear_singo,상,11.3,8.7,595
24902,pear_singo,보통,10.0,9.0,495
1680,apple_fuji,상,9.1,8.0,295
38889,persimmon_booyu,상,8.4,6.3,270
42689,persimmon_bansi,보통,6.3,5.2,135
30110,persimmon_daebong,특,9.4,9.0,380
37438,persimmon_bansi,특,7.7,5.2,205
18442,mandarine_hallabong,특,9.9,9.0,433
40441,persimmon_daebong,상,9.3,9.1,370
22642,mandarine_onjumilgam,특,6.5,5.1,115
14396,mandarine_onjumilgam,보통,5.6,4.5,80
34105,pear_chuhwang,특,9.8,8.7,505
30590,persimmon_daebong,특,9.0,9.1,375
42209,persimmon_bansi,보통,7.2,5.0,175
40481,persimmon_daebong,상,9.3,9.3,390
44841,persimmon_booyu,특,8.0,6.2,270
760,apple_fuji,상,8.1,8.1,265
4268,apple_yanggwang,상,7.7,7.1,225
47393,pear_singo,상,11.4,9.5,600
51674,pear_chuhwang,상,10.2,9.9,535
11676,mandarine_hallabong,보통,8.5,8.5,290
37689,persimmon_booyu,상,8.2,6.3,265
33754,pear_chuhwang,특,10.7,8.6,480
50833,pear_chuhwang,상,9.5,8.2,435
4188,apple_yanggwang,보통,9.5,8.3,330
29870,persimmon_daebong,특,9.0,9.2,370
26030,persimmon_daebong,보통,7.0,8.0,175
41521,persimmon_daebong,상,9.3,9.1,385
27118,persimmon_bansi,상,7.3,4.9,180
3580,apple_yanggwang,보통,9.0,8.2,305
35998,persimmon_bansi,특,6.2,5.3,145
15276,mandarine_onjumilgam,보통,5.9,4.8,90
3500,apple_yanggwang,보통,9.0,8.2,330
13996,mandarine_onjumilgam,보통,5.5,4.4,75
23042,mandarine_onjumilgam,특,6.7,5.5,120
46001,persimmon_booyu,특,8.7,6.5,270
4948,apple_yanggwang,상,8.0,7.5,240
3900,apple_yanggwang,보통,9.0,8.4,335
10236,mandarine_onjumilgam,상,6.0,5.2,100
15116,mandarine_onjumilgam,보통,5.7,4.6,75
49841,pear_singo,특,11.8,10.1,760
51560,pear_chuhwang,상,10.4,9.0,525
36798,persimmon_bansi,특,7.3,5.7,180
7516,apple_fuji,보통,7.3,6.6,195
45921,persimmon_booyu,특,8.7,6.4,290
5388,apple_yanggwang,상,9.0,8.5,355
49681,pear_singo,특,11.7,9.6,715
25790,persimmon_daebong,보통,6.7,7.7,185
29670,persimmon_daebong,특,9.1,9.3,395
6196,apple_fuji,보통,7.3,6.7,195
37889,persimmon_booyu,상,8.0,6.3,255
13812,pear_chuhwang,보통,8.2,7.8,305
24422,pear_singo,보통,10.1,8.1,475
48721,pear_singo,특,11.6,10.1,750
20314,apple_yanggwang,특,8.1,7.5,215
15316,mandarine_onjumilgam,보통,5.3,4.3,70
4908,apple_yanggwang,상,8.2,8.2,265
22282,mandarine_onjumilgam,특,6.5,4.8,105
6916,apple_fuji,보통,7.8,6.3,200
31398,persimmon_booyu,보통,7.5,6.0,210
27198,persimmon_bansi,상,7.3,5.1,180
35798,persimmon_bansi,특,7.3,5.4,175
35598,persimmon_bansi,특,7.4,5.5,185
11556,mandarine_hallabong,보통,8.5,8.0,270
21402,apple_yanggwang,특,8.3,7.6,245
42089,persimmon_bansi,보통,6.7,5.1,140
17162,mandarine_hallabong,상,8.7,9.1,350
960,apple_fuji,상,8.3,8.1,260
29790,persimmon_daebong,특,9.1,8.9,385
10396,mandarine_hallabong,보통,8.8,8.7,325
14436,mandarine_onjumilgam,보통,5.3,3.9,60
32478,persimmon_booyu,보통,8.0,6.7,245
33635,pear_chuhwang,특,10.3,9.0,520
46953,pear_singo,상,11.5,9.7,750
33198,persimmon_booyu,보통,7.7,6.0,230
50643,pear_chuhwang,상,9.3,8.7,465
6476,apple_fuji,보통,7.5,6.3,195
44681,persimmon_booyu,특,8.7,6.4,275
8196,apple_fuji,보통,7.5,6.9,205
25430,persimmon_daebong,보통,7.2,7.9,195
32718,persimmon_booyu,보통,7.8,6.2,220
24182,pear_singo,보통,9.9,8.6,470
43609,persimmon_bansi,보통,6.3,4.7,130
3860,apple_yanggwang,보통,9.1,7.4,285
20634,apple_yanggwang,특,8.0,7.9,215
47313,pear_singo,상,11.8,10.0,725
4828,apple_yanggwang,상,7.7,7.4,215
12442,pear_chuhwang,보통,8.9,8.0,370
24822,pear_singo,보통,10.0,8.3,490
38169,persimmon_booyu,상,8.2,6.3,260
49321,pear_singo,특,11.4,9.5,715
16842,mandarine_hallabong,상,9.1,9.5,375
14916,mandarine_onjumilgam,보통,5.5,4.6,80
22362,mandarine_onjumilgam,특,6.8,5.4,125
7116,apple_fuji,보통,7.0,6.5,190
33390,persimmon_booyu,보통,7.8,6.1,225
18154,mandarine_hallabong,특,9.6,9.4,431
39649,persimmon_booyu,상,8.2,6.4,270
34499,pear_chuhwang,특,10.1,8.9,490
10116,mandarine_onjumilgam,상,6.3,4.7,105
20514,apple_yanggwang,특,8.2,7.7,220
36838,persimmon_bansi,특,7.6,5.0,180
11276,mandarine_hallabong,보통,8.7,8.2,285
31918,persimmon_booyu,보통,7.7,6.0,205
2820,apple_yanggwang,보통,9.1,8.1,340
11396,mandarine_hallabong,보통,8.5,8.3,290
18730,mandarine_hallabong,특,9.8,9.5,403
47233,pear_singo,상,11.8,9.3,600
32438,persimmon_booyu,보통,7.5,6.0,215
